"","Ã¶±Ù..SHFE..2018.10RMB.ton.fcst","Ã¶±Ù..SHFE..2018.10RMB.ton.lower","Ã¶±Ù..SHFE..2018.10RMB.ton.upper","Ã¶±Ù..SHFE..2018.10RMB.ton.CI"
"1",3705.82895842312,3542.49130573742,3869.16661110882,163.3376526857
"2",3729.26313556664,3470.09479115201,3988.43147998127,259.16834441463
"3",3781.45160718613,3460.88587891645,4102.01733545581,320.565728269682
"4",3840.24907465849,3479.51997126021,4200.97817805677,360.729103398278
"5",3895.39966614804,3506.2916334827,4284.50769881337,389.108032665337
"6",3944.47514350651,3533.11010503336,4355.84018197965,411.365038473147
"7",3988.26119013841,3557.89932092945,4418.62305934737,430.361869208963
"8",4027.29227214242,3579.67875467677,4474.90578960807,447.613517465652
"9",4061.56872709478,3597.70229521742,4525.43515897213,463.866431877352
"10",4091.01611011704,3611.58848739456,4570.44373283953,479.427622722487
