"","ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..fcst","ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..lower","ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..upper","ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..CI"
"1",77.7995868886709,74.6220788920804,80.9770948852615,3.17750799659058
"2",76.543262179432,71.2669472445111,81.8195771143528,5.27631493492085
"3",74.6424051685411,68.1013441615906,81.1834661754917,6.54106100695053
"4",72.7768396736229,65.3533869232959,80.20029242395,7.42345275032704
"5",71.4157384353037,63.2986589394168,79.5328179311906,8.11707949588688
"6",70.5544347995301,61.825668379845,79.2832012192152,8.7287664196851
"7",70.0379297167727,60.7489077029808,79.3269517305646,9.28902201379189
"8",69.7335467006498,59.9332564051185,79.5338369961811,9.80029029553127
"9",69.5756491045601,59.3103245545563,79.8409736545639,10.2653245500038
"10",69.5467624677043,58.8573419519708,80.2361829834378,10.6894205157335
