"","¾Ë·ç¹Ì´½.fcst","¾Ë·ç¹Ì´½.lower","¾Ë·ç¹Ì´½.upper","¾Ë·ç¹Ì´½.CI"
"1",513.918221922202,445.834977794626,582.001466049778,68.0832441275759
"2",509.405185324155,420.284812118254,598.525558530057,89.1203732059018
"3",507.214715607403,410.847506047099,603.581925167706,96.3672095603033
"4",504.37053939228,405.240129109544,603.500949675016,99.1304102827364
"5",501.86468160863,401.184048819839,602.545314397422,100.680632788792
"6",501.143977220226,399.270080517943,603.017873922509,101.873896702283
"7",503.179334578421,400.312759198056,606.045909958786,102.866575380365
"8",507.309306186579,403.579788828572,611.038823544586,103.729517358007
"9",512.276964557255,407.785371727024,616.768557387487,104.491592830232
"10",517.054199691269,411.893937320737,622.214462061801,105.160262370532
