"","USD.CNY..πÃ±π.¥ﬁ∑Ø...¡ﬂ±π.¿ŒπŒ∆Û..fcst","USD.CNY..πÃ±π.¥ﬁ∑Ø...¡ﬂ±π.¿ŒπŒ∆Û..lower","USD.CNY..πÃ±π.¥ﬁ∑Ø...¡ﬂ±π.¿ŒπŒ∆Û..upper","USD.CNY..πÃ±π.¥ﬁ∑Ø...¡ﬂ±π.¿ŒπŒ∆Û..CI"
"1",6.61516554519404,6.56170936768104,6.66862172270704,0.0534561775130034
"2",6.61385141919986,6.52522848132059,6.70247435707913,0.0886229378792669
"3",6.60500948456956,6.48937777275922,6.7206411963799,0.115631711810343
"4",6.59702748171202,6.45930491099599,6.73475005242805,0.137722570716033
"5",6.59040620596566,6.43399398562818,6.74681842630315,0.156412220337486
"6",6.58428660822895,6.41181075392298,6.75676246253493,0.172475854305974
"7",6.57791131773327,6.3914809171981,6.76434171826844,0.186430400535168
"8",6.57110897205796,6.37244720053376,6.76977074358215,0.198661771524198
"9",6.56411917449774,6.35464785297814,6.77359049601734,0.209471321519602
"10",6.55725319312794,6.33815796013804,6.77634842611784,0.2190952329899
