Ã¶±¤¼®_°¡°Ý.fcst,Ã¶±¤¼®_°¡°Ý.lower,Ã¶±¤¼®_°¡°Ý.upper,Ã¶±¤¼®_°¡°Ý.CI,Ã¶±¤¼®_°¡°Ý.fcst,Ã¶±¤¼®_°¡°Ý.lower,Ã¶±¤¼®_°¡°Ý.upper,Ã¶±¤¼®_°¡°Ý.CI,¾Ë·ç¹Ì´½.fcst,¾Ë·ç¹Ì´½.lower,¾Ë·ç¹Ì´½.upper,¾Ë·ç¹Ì´½.CI,¿¬.fcst,¿¬.lower,¿¬.upper,¿¬.CI,BHP_close.fcst,BHP_close.lower,BHP_close.upper,BHP_close.CI,VALE_close.fcst,VALE_close.lower,VALE_close.upper,VALE_close.CI,PDS.¿øÀÚÀç.Áö¼ö.fcst,PDS.¿øÀÚÀç.Áö¼ö.lower,PDS.¿øÀÚÀç.Áö¼ö.upper,PDS.¿øÀÚÀç.Áö¼ö.CI,USD.CNY..¹Ì±¹.´Þ·¯...Áß±¹.ÀÎ¹ÎÆó..fcst,USD.CNY..¹Ì±¹.´Þ·¯...Áß±¹.ÀÎ¹ÎÆó..lower,USD.CNY..¹Ì±¹.´Þ·¯...Áß±¹.ÀÎ¹ÎÆó..upper,USD.CNY..¹Ì±¹.´Þ·¯...Áß±¹.ÀÎ¹ÎÆó..CI,AUD.USD..È£ÁÖ.´Þ·¯...¹Ì±¹.´Þ·¯..fcst,AUD.USD..È£ÁÖ.´Þ·¯...¹Ì±¹.´Þ·¯..lower,AUD.USD..È£ÁÖ.´Þ·¯...¹Ì±¹.´Þ·¯..upper,AUD.USD..È£ÁÖ.´Þ·¯...¹Ì±¹.´Þ·¯..CI,ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..fcst,ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..lower,ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..upper,ºê·»Æ®À¯..ICE..2018.09USD.bbl.barrel..CI,Ã¶±Ù..SHFE..2018.10RMB.ton.fcst,Ã¶±Ù..SHFE..2018.10RMB.ton.lower,Ã¶±Ù..SHFE..2018.10RMB.ton.upper,Ã¶±Ù..SHFE..2018.10RMB.ton.CI,¼±Àç..SHFE..2018.10RMB.ton.fcst,¼±Àç..SHFE..2018.10RMB.ton.lower,¼±Àç..SHFE..2018.10RMB.ton.upper,¼±Àç..SHFE..2018.10RMB.ton.CI
63.90725044,59.44442395,68.37007694,4.462826496,63.90725044,59.44442395,68.37007694,4.462826496,513.9182219,445.8349778,582.001466,68.08324413,596.7933289,512.2223299,681.3643278,84.57099896,49.72732822,46.17089042,53.28376602,3.556437799,12.66831371,11.71507848,13.62154893,0.953235229,122.8641075,121.0291491,124.699066,1.834958472,6.615165545,6.561709368,6.668621723,0.053456178,0.733879192,0.717935187,0.749823197,0.015944005,77.79958689,74.62207889,80.97709489,3.177507997,3705.828958,3542.491306,3869.166611,163.3376527,4044.42847,3867.399174,4221.457765,177.0292953
63.23706173,55.9929557,70.48116776,7.244106034,63.23706173,55.9929557,70.48116776,7.244106034,509.4051853,420.2848121,598.5255585,89.12037321,573.3046834,462.629879,683.9794878,110.6748044,49.6468065,44.84765571,54.4459573,4.799150795,12.66602766,11.35481292,13.97724239,1.311214737,122.5543277,118.5418644,126.566791,4.012463287,6.613851419,6.525228481,6.702474357,0.088622938,0.736293863,0.711789397,0.76079833,0.024504466,76.54326218,71.26694724,81.81957711,5.276314935,3729.263136,3470.094791,3988.43148,259.1683444,3960.564187,3690.716105,4230.412268,269.8480814
63.55508854,54.4379647,72.67221239,9.117123844,63.55508854,54.4379647,72.67221239,9.117123844,507.2147156,410.847506,603.5819252,96.36720956,563.7127474,444.6424446,682.7830502,119.0703028,49.32485523,43.59771265,55.05199781,5.727142582,12.71577824,11.15165135,14.27990512,1.564126882,121.5576507,115.9647901,127.1505113,5.592860608,6.605009485,6.489377773,6.720641196,0.115631712,0.741096238,0.711806231,0.770386245,0.029290007,74.64240517,68.10134416,81.18346618,6.541061007,3781.451607,3460.885879,4102.017335,320.5657283,3876.047675,3546.780526,4205.314823,329.2671482
64.39507517,53.90153058,74.88861977,10.4935446,64.39507517,53.90153058,74.88861977,10.4935446,504.3705394,405.2401291,603.5009497,99.13041028,563.8233141,441.8186523,685.8279759,122.0046618,49.06210603,42.61535917,55.50885288,6.446746856,12.83280839,11.07581523,14.58980155,1.756993159,120.3633065,113.614457,127.1121559,6.748849452,6.597027482,6.459304911,6.734750052,0.137722571,0.745326017,0.712788662,0.777863372,0.032537355,72.77683967,65.35338692,80.20029242,7.42345275,3840.249075,3479.519971,4200.978178,360.7291034,3822.498967,3450.527455,4194.47048,371.9715125
65.47310025,53.90046065,77.04573985,11.5726396,65.47310025,53.90046065,77.04573985,11.5726396,501.8646816,401.1840488,602.5453144,100.6806328,568.2023515,444.6598448,691.7448581,123.5425066,48.89073186,41.84608262,55.93538111,7.044649246,12.9807312,11.06093601,14.90052639,1.91979519,119.3927997,111.6809933,127.1046061,7.711806385,6.590406206,6.433993986,6.746818426,0.15641222,0.748997999,0.714128974,0.783867024,0.034869025,71.41573844,63.29865894,79.53281793,8.117079496,3895.399666,3506.291633,4284.507699,389.1080327,3797.73004,3390.141592,4205.318489,407.5884487
66.53268352,54.08240076,78.98296629,12.45028277,66.53268352,54.08240076,78.98296629,12.45028277,501.1439772,399.2700805,603.0178739,101.8738967,573.2550223,448.5745883,697.9354562,124.6804339,48.80060479,41.2347514,56.36645818,7.565853393,13.13536593,11.07519892,15.19553294,2.060167011,118.806942,110.2370104,127.3768737,8.569931664,6.584286608,6.411810754,6.756762463,0.172475854,0.752197875,0.71554958,0.788846169,0.036648295,70.5544348,61.82566838,79.28320122,8.72876642,3944.475144,3533.110105,4355.840182,411.3650385,3787.008239,3349.088955,4224.927522,437.9192834
67.45788464,54.28230186,80.63346742,13.17558278,67.45788464,54.28230186,80.63346742,13.17558278,503.1793346,400.3127592,606.04591,102.8665754,578.1840352,452.5830295,703.7850408,125.6010057,48.76619503,40.74594772,56.78644235,8.020247314,13.28175976,11.10123014,15.46228938,2.18052962,118.5322798,109.1750639,127.8894956,9.357215853,6.577911318,6.391480917,6.764341718,0.186430401,0.755078035,0.717056526,0.793099544,0.038021509,70.03792972,60.7489077,79.32695173,9.289022014,3988.26119,3557.899321,4418.623059,430.3618692,3778.273695,3315.083731,4241.463659,463.1899639
68.22868022,54.44788398,82.00947646,13.78079624,68.22868022,54.44788398,82.00947646,13.78079624,507.3093062,403.5797888,611.0388235,103.7295174,583.0075407,456.6448366,709.3702448,126.3627041,48.76370567,40.3444923,57.18291904,8.419213367,13.41621639,11.13234767,15.70008511,2.283868723,118.4596616,108.3855484,128.5337748,10.07411317,6.571108972,6.372447201,6.769770744,0.198661772,0.757659597,0.718567812,0.796751381,0.039091785,69.7335467,59.93325641,79.533837,9.800290296,4027.292272,3579.678755,4474.90579,447.6135175,3767.624567,3283.526505,4251.722629,484.0980617
68.86969761,54.57855422,83.160841,14.29114339,68.86969761,54.57855422,83.160841,14.29114339,512.2769646,407.7853717,616.7685574,104.4915928,587.8424199,460.8268193,714.8580205,127.0156006,48.78785254,40.01491609,57.56078899,8.77293645,13.54154163,11.16823811,15.91484514,2.373303517,118.5133846,107.79353,129.2332393,10.71985465,6.564119174,6.354647853,6.773590496,0.209471322,0.759931996,0.719985674,0.799878318,0.039946322,69.5756491,59.31032455,79.84097365,10.26532455,4061.568727,3597.702295,4525.435159,463.8664319,3756.882421,3255.370176,4258.394666,501.5122452
69.4098891,54.68324094,84.13653727,14.72664816,69.4098891,54.68324094,84.13653727,14.72664816,517.0541997,411.8939373,622.2144621,105.1602624,592.5683553,464.9622206,720.17449,127.6061347,48.83990162,39.74943034,57.9303729,9.090471281,13.66091703,11.20918828,16.11264579,2.451728759,118.6620321,107.3626245,129.9614396,11.29940758,6.557253193,6.33815796,6.776348426,0.219095233,0.761906554,0.721254276,0.802558833,0.040652279,69.54676247,58.85734195,80.23618298,10.68942052,4091.01611,3611.588487,4570.443733,479.4276227,3749.153749,3232.95643,4265.351068,516.1973187
